Country,WHO Region,GDP_per_capita_2022,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Belarus,Europe,7994.64806074889,994052,10520,NA,NA,NA,7118,75,NA,NA,NA
China,Western Pacific,12662.5826712038,99381761,6755,0,NA,0,122398,8,0,NA,0
French Guiana,NA,NA,98041,32825,NA,NA,NA,413,138,NA,NA,NA
Latvia,Europe,20229.4613617326,977775,51255,NA,NA,NA,7599,398,NA,NA,NA
Saint Vincent and the Grenadines,Americas,9471.14627317673,9674,8720,NA,NA,NA,124,112,NA,NA,NA
Guinea-Bissau,Africa,853.281304044102,9614,489,NA,NA,NA,177,9,NA,NA,NA
Niger,Africa,609.745147574878,9564,40,NA,NA,NA,315,1,NA,NA,NA
Comoros,Africa,1489.49566257969,9109,1047,NA,NA,NA,160,18,NA,NA,NA
Antigua and Barbuda,Americas,20117.7653310355,9106,9299,NA,NA,NA,146,149,NA,NA,NA
Senegal,Africa,1564.74522071584,89372,534,1,NA,1,1972,12,NA,NA,NA
Malawi,Africa,604.269751184515,89168,466,NA,NA,NA,2686,14,NA,NA,NA
Kyrgyzstan,Europe,1739.72030814894,88953,1363,NA,NA,NA,1024,16,NA,NA,NA
C�te d'Ivoire,Africa,NA,88486,335,2,NA,2,835,3,NA,NA,NA
Netherlands (Kingdom of the),Europe,59123.318556487,8650554,49694,33,NA,33,22986,132,NA,NA,NA
Saudi Arabia,Eastern Mediterranean,34454.1957708412,841469,2417,NA,NA,NA,9646,28,NA,NA,NA
Azerbaijan,Europe,7770.594223351,836510,8250,NA,NA,NA,10353,102,NA,NA,NA
American Samoa,Western Pacific,18017.4589383973,8359,15144,NA,NA,NA,34,62,NA,NA,NA
Suriname,Americas,6084.43876736445,82508,14065,0,NA,0,1406,240,0,NA,0
New Caledonia,Western Pacific,33516.363085906,80203,28092,NA,NA,NA,314,110,NA,NA,NA
Tokelau,Western Pacific,NA,80,5926,NA,NA,NA,0,NA,NA,NA,NA
Sierra Leone,Africa,860.130884035452,7985,100,NA,NA,NA,125,2,NA,NA,NA
French Polynesia,Western Pacific,20738.6499971661,79451,28284,NA,NA,NA,650,231,NA,NA,NA
Liberia,Africa,744.617175237387,7932,157,NA,NA,NA,294,6,NA,NA,NA
Chad,Africa,671.720147647873,7702,47,NA,NA,NA,194,1,NA,NA,NA
British Virgin Islands,Americas,NA,7644,25280,NA,NA,NA,64,212,NA,NA,NA
Iran (Islamic Republic of),Eastern Mediterranean,4405.09291519791,7627863,9082,NA,NA,NA,146837,175,NA,NA,NA
Mexico,Americas,11385.4070757929,7622513,5912,NA,NA,NA,334818,260,NA,NA,NA
Eswatini,Africa,3852.08573272946,75356,6495,NA,NA,NA,1427,123,NA,NA,NA
Guyana,Americas,17913.4910146288,74580,9482,4,1,4,1303,166,0,NA,0
Cook Islands,Western Pacific,NA,7375,41989,NA,NA,NA,2,11,NA,NA,NA
Paraguay,Americas,6205.62595379319,735759,10316,NA,NA,NA,19880,279,NA,NA,NA
Belize,Americas,7068.45478269722,71432,17965,0,NA,0,688,173,NA,NA,NA
Cyprus,Europe,33938.9453125,712934,80285,NA,NA,NA,1364,154,NA,NA,NA
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,3799.95527015163,703228,13785,NA,NA,NA,5708,112,NA,NA,NA
Bahrain,Eastern Mediterranean,30616.2610677495,696614,40939,NA,NA,NA,1536,90,NA,NA,NA
Fiji,Western Pacific,5405.03007408295,69047,7702,NA,NA,NA,885,99,NA,NA,NA
